Ha’e ojupita	Ha’e ojupita	NOCHANGE
Nde reikomi ka’aguy hovy’ûvare	Nde reikomi ka’aguy hovy’ûvare	NOCHANGE
Ko mombe’upy pemohenduká kuri chéve peê.	Ko mombe’upy pemohenduká kuri chéve peê.	NOCHANGE
Nde katu itáicha rekirirĩ.	Nde katu itáicha rekirirĩ.	NOCHANGE
Nde nderejapómi ogyke pokã	Nde nderejapómi ogyke pokã	NOCHANGE
Ha’e ojupi kuri ikóni	Ha’e ojupi kuri ikóni	NOCHANGE
Che nañemoingei	Che nañemoingei	NOCHANGE
Ndapurahéi kuri	Ndapurahéi kuri	NOCHANGE
Mombe’ukuéra omboty kuri hína pende arete	Mombe’ukuéra omboty kuri hína pende arete	NOCHANGE
Ku mbói oñorairõmi	Ku mbói oñorairõmi	NOCHANGE
Ha’e ombojaruita	Ha’e ombojaruita	NOCHANGE
Ore mba’e ko ykua	Ore mba’e ko ykua	NOCHANGE
Jaguarete katu itáicha okirirĩ.	Jaguarete katu itáicha okirirĩ.	NOCHANGE
Temirendu omongakuaa	Temirendu omongakuaa	NOCHANGE
Che nañemoingeimi	Che nañemoingeimi	NOCHANGE
Che aikomi ka’aguy hovy’ûvare	Che aikomi ka’aguy hovy’ûvare	NOCHANGE
Apurahéi kuri	Apurahéi kuri	NOCHANGE
Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	NOCHANGE
Umi mbóikuera oñorairõ	Umi mbóikuera oñorairõ	NOCHANGE
Chéngo ndaikuaái upévape.	Chéngo ndaikuaái upévape.	NOCHANGE
Pakova roguépe amo’â cherembi’ukuéra.	Pakova roguépe amo’â cherembi’ukuéra.	NOCHANGE
Nde nderejapói	Nde nderejapói	NOCHANGE
Pakova roguépe pemo’â penderembi’ukuéra.	Pakova roguépe pemo’â penderembi’ukuéra.	NOCHANGE
Che ndambojaruita	Che ndambojaruita	NOCHANGE
Peẽ peguapy	Peẽ peguapy	NOCHANGE
Ama oikomi ka’aguy hovy’ûvare	Ama oikomi ka’aguy hovy’ûvare	NOCHANGE
Ore temimbo’e tie’ỹ nojapopami	Ore temimbo’e tie’ỹ nojapopami	NOCHANGE
Ha’e oguapýva’ekue	Ha’e oguapýva’ekue	NOCHANGE
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	NOCHANGE
Ndéngo ndereikuaái upévape.	Ndéngo ndereikuaái upévape.	NOCHANGE
Pakova roguépe remo’â nderembi’ukuéra.	Pakova roguépe remo’â nderembi’ukuéra.	NOCHANGE
Che aguapy	Che aguapy	NOCHANGE
Ñande ñakũmbýimi	Ñande ñakũmbýimi	NOCHANGE
Jaguarete katu itáicha ndokirirĩ.	Jaguarete katu itáicha ndokirirĩ.	NOCHANGE
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra naiñemoñaréi kuri	NOCHANGE
Temirendukuéra omongakuaami	Temirendukuéra omongakuaami	NOCHANGE
Okũmbyta hikuái.	Okũmbyta hikuái.	NOCHANGE
Ore norojapómi ogyke pokã	Ore norojapómi ogyke pokã	NOCHANGE
Mombe’ukuéra omboty kuri pende arete	Mombe’ukuéra omboty kuri pende arete	NOCHANGE
Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	NOCHANGE
Che ndaikuave’ẽi umi tembi’ukuéra pytagua	Che ndaikuave’ẽi umi tembi’ukuéra pytagua	NOCHANGE
Nde nderembotujáimi che ogyke - Nde nerembyaimi che ogyke	Nde nderembotujáimi che ogyke - Nde nerembyaimi che ogyke	NOCHANGE
Ko po ndojupíri	Ko po ndojupíri	NOCHANGE
Ko mombe’upy ohenduka chéve che ru.	Ko mombe’upy ohenduka chéve che ru.	NOCHANGE
Ha’e ombotujáta che ogyke - Ha’e ombyaíta che ogyke	Ha’e ombotujáta che ogyke - Ha’e ombyaíta che ogyke	NOCHANGE
Nde ndereikuave’ẽi umi tembi’ukuéra pytagua	Nde ndereikuave’ẽi umi tembi’ukuéra pytagua	NOCHANGE
Upérõ (che) añanita hína	Upérõ (che) añanita hína	NOCHANGE
Ñande naiñañemoñaréi kuri	Ñande naiñañemoñaréi kuri	NOCHANGE
Ore rorasy	Ore rorasy	NOCHANGE
Hikuái oguapy	Hikuái oguapy	NOCHANGE
Ore noroñemoingeta	Ore noroñemoingeta	NOCHANGE
Ndokũmbýimi hikuái	Ndokũmbýimi hikuái	NOCHANGE
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	NOCHANGE
Ijuru ñeimo’ã’ỹva ndojurai che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurai che aovevekuéra	NOCHANGE
Upérö (che) añani hína kuri	Upérö (che) añani hína kuri	NOCHANGE
Ha’e ombojárata mbovy apekuéra	Ha’e ombojárata mbovy apekuéra	NOCHANGE
Nde rembojerekuri umi kutuhakuéra tuicháva	Nde rembojerekuri umi kutuhakuéra tuicháva	NOCHANGE
Che ambojára kuri mbovy apekuéra	Che ambojára kuri mbovy apekuéra	NOCHANGE
Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke	Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke	NOCHANGE
Mombe’ukuéra ndombotyi kuri pende arete	Mombe’ukuéra ndombotyi kuri pende arete	NOCHANGE
Ha’e ndojupirí kuri	Ha’e ndojupirí kuri	NOCHANGE
Nde reguapy	Nde reguapy	NOCHANGE
Ndacherásyi	Ndacherásyi	NOCHANGE
Ha’e ndoguapýi	Ha’e ndoguapýi	NOCHANGE
Che ajavými iñeikotevẽva akuápe	Che ajavými iñeikotevẽva akuápe	NOCHANGE
Ndachemba’ei ko ykua	Ndachemba’ei ko ykua	NOCHANGE
Che cherasy va’ekue	Che cherasy va’ekue	NOCHANGE
Ha’ekuéra naiñemoñaréita	Ha’ekuéra naiñemoñaréita	NOCHANGE
Amo ñemuha nosapukái kuri	Amo ñemuha nosapukái kuri	NOCHANGE
Umíva ñemuhakuéra osapukái kuri	Umíva ñemuhakuéra osapukái kuri	NOCHANGE
Ha’e ojupi kuri	Ha’e ojupi kuri	NOCHANGE
Mombe’ukuéra omboty pende arete	Mombe’ukuéra omboty pende arete	NOCHANGE
Ha’e ojupi kuri hína	Ha’e ojupi kuri hína	NOCHANGE
Pakova roguépe omo’â hembi’ukuéra.	Pakova roguépe omo’â hembi’ukuéra.	NOCHANGE
Che ajavy iñeikotevẽva akuápe	Che ajavy iñeikotevẽva akuápe	NOCHANGE
Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke	Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke	NOCHANGE
Ore temimbo’ekuéra tie’ỹ ojapopami	Ore temimbo’ekuéra tie’ỹ ojapopami	NOCHANGE
Ndoipurui hikuái ka’a térã ho’u terere.	Ndoipurui hikuái ka’a térã ho’u terere.	NOCHANGE
Nde nereñembosaráiri hína	Nde nereñembosaráiri hína	NOCHANGE
Pohanohára akãguapy ombovuta	Pohanohára akãguapy ombovuta	NOCHANGE
Ñande ndañamoheñói	Ñande ndañamoheñói	NOCHANGE
Ñande ndajajapói	Ñande ndajajapói	NOCHANGE
Pohanohára akãguapy ndombovuta	Pohanohára akãguapy ndombovuta	NOCHANGE
Ha’e ndombojárai kuri mbovy apekuéra	Ha’e ndombojárai kuri mbovy apekuéra	NOCHANGE
Okũmby kuri hikuái.	Okũmby kuri hikuái.	NOCHANGE
Nde rejapo	Nde rejapo	NOCHANGE
Ha’e oguapy	Ha’e oguapy	NOCHANGE
Ku mbói oñorairõ	Ku mbói oñorairõ	NOCHANGE
Apurahéihina kuri	Apurahéihina kuri	NOCHANGE
Apurahéi va’ekue	Apurahéi va’ekue	NOCHANGE
Apurahéitta	Apurahéitta	NOCHANGE
Che mba’éta ko ykua	Che mba’éta ko ykua	NOCHANGE
Ore temimbo’e tie’ỹ ojapopava’ekue	Ore temimbo’e tie’ỹ ojapopava’ekue	NOCHANGE
Ha’ekuéra ndoñemoñaréi	Ha’ekuéra ndoñemoñaréi	NOCHANGE
Ñande jajupi kuri	Ñande jajupi kuri	NOCHANGE
Ha’e oguapýta	Ha’e oguapýta	NOCHANGE
Chéngo aikuaá upévape.	Chéngo aikuaá upévape.	NOCHANGE
Oipuru hikuái ka’a ha ho’u terere.	Oipuru hikuái ka’a ha ho’u terere.	NOCHANGE
Ha’ekuéra oñembosarái hína	Ha’ekuéra oñembosarái hína	NOCHANGE
Ha’ekuéra ndomoheñoi	Ha’ekuéra ndomoheñoi	NOCHANGE
Pohanohárakuera akãguapy ndombovúita	Pohanohárakuera akãguapy ndombovúita	NOCHANGE
Ñande najajapómi ogyke pokã	Ñande najajapómi ogyke pokã	NOCHANGE
Jaguarete katu itáicha okirirĩta.	Jaguarete katu itáicha okirirĩta.	NOCHANGE
Mombe’u omboty kuri pende arete	Mombe’u omboty kuri pende arete	NOCHANGE
Nde reñembosarái hína	Nde reñembosarái hína	NOCHANGE
Amo ñemuha osapukái kuri	Amo ñemuha osapukái kuri	NOCHANGE
Ha’ekuéra nojapómi ogyke pokã	Ha’ekuéra nojapómi ogyke pokã	NOCHANGE
Che, ka’i ruvicha, ha’e che ta’yrakuérape	Che, ka’i ruvicha, ha’e che ta’yrakuérape	NOCHANGE
Ore temimbo’e tie’ỹ ojapopami	Ore temimbo’e tie’ỹ ojapopami	NOCHANGE
Amo ñemuha osapukáita	Amo ñemuha osapukáita	NOCHANGE
Che ajavýta iñeikotevẽva akuápe	Che ajavýta iñeikotevẽva akuápe	NOCHANGE
Ha’e oguapýkuri	Ha’e oguapýkuri	NOCHANGE
Ko mombe’upy emohenduká kuri chéve nde.	Ko mombe’upy emohenduká kuri chéve nde.	NOCHANGE
Ha’e ndombojaruita hína	Ha’e ndombojaruita hína	NOCHANGE
Upérõ (che) añanihínava’ekue	Upérõ (che) añanihínava’ekue	NOCHANGE
Che katu itáicha akirirĩ.	Che katu itáicha akirirĩ.	NOCHANGE
Ñande mba’e ko ykua	Ñande mba’e ko ykua	NOCHANGE
Nde nderejapókuri	Nde nderejapókuri	NOCHANGE
Oipuruta hikuái ka’a ha ho’uta terere.	Oipuruta hikuái ka’a ha ho’uta terere.	NOCHANGE
Ha’e ombojerekuri umi kutuhakuéra poro’o	Ha’e ombojerekuri umi kutuhakuéra poro’o	NOCHANGE
Pohanohára akãguapy ndombovúi	Pohanohára akãguapy ndombovúi	NOCHANGE
Nde reñembosaráita hína	Nde reñembosaráita hína	NOCHANGE
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	NOCHANGE
